iter	RMSE
0	29.32245503
1	29.30642804
2	29.28761569
3	29.27090185
4	29.25605126
5	29.24122116
6	29.22670964
7	29.21110221
8	29.19736291
9	29.18157197
10	29.1651515
11	29.1488912
12	29.13225115
13	29.11595298
14	29.09660317
15	29.08072086
16	29.06499489
17	29.0478458
18	29.03261736
19	29.0208249
20	29.00628761
21	28.99136204
22	28.97864239
23	28.96513437
24	28.95195993
25	28.93761566
26	28.92360288
27	28.90946713
28	28.89570718
29	28.87924334
30	28.86252304
31	28.8482916
32	28.83084455
33	28.8105685
34	28.79421812
35	28.77993877
36	28.76124728
37	28.74404164
38	28.72578548
39	28.70801553
40	28.6933828
41	28.68050066
42	28.66771941
43	28.65443465
44	28.64112507
45	28.62814245
46	28.61390854
47	28.5995958
48	28.5851501
49	28.56857851
50	28.55247122
51	28.5385823
52	28.52444959
53	28.50753872
54	28.4948709
55	28.48172536
56	28.46883771
57	28.4536523
58	28.43727662
59	28.42456667
60	28.40821446
61	28.3939783
62	28.3779257
63	28.36315188
64	28.34636445
65	28.33371613
66	28.3217552
67	28.30508524
68	28.28806356
69	28.27461517
70	28.25845752
71	28.24546798
72	28.23270165
73	28.21377853
74	28.19609227
75	28.1776009
76	28.1648745
