iter	Passed	Remaining
0	18	1411
1	36	1382
2	41	1034
3	58	1071
4	75	1090
5	94	1113
6	112	1122
7	131	1137
8	149	1129
9	171	1149
10	191	1148
11	216	1174
12	236	1163
13	260	1172
14	277	1145
15	295	1125
16	313	1105
17	330	1082
18	348	1064
19	364	1039
20	382	1019
21	400	1001
22	419	985
23	436	964
24	453	943
25	470	923
26	487	902
27	502	878
28	517	855
29	533	835
30	550	816
31	567	797
32	577	769
33	579	732
34	596	715
35	612	698
36	614	664
37	631	647
38	648	631
39	665	615
40	682	599
41	700	583
42	716	566
43	734	550
44	750	533
45	767	517
46	784	500
47	802	484
48	819	468
49	836	451
50	853	435
51	869	418
52	886	401
53	902	384
54	918	367
55	933	350
56	951	333
57	967	317
58	986	300
59	1004	284
60	1021	267
61	1037	251
62	1054	234
63	1071	217
64	1087	200
65	1102	183
66	1119	167
67	1135	150
68	1137	131
69	1152	115
70	1158	97
71	1175	81
72	1191	65
73	1208	49
74	1213	32
75	1229	16
76	1247	0
